Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ghana,4983024408,5314909954,6166330136,7632406553,8881368538,10744675210,20440893017,24827844950,28678701891,26048108185,32197272797,39337314810,41270954737,62823043706,54782847753,49406568433,56165172899,60406382899,67299280680,68337537816,70043199814,77594279055
Guinea,2995361141,2829435957,2950198649,3446441698,3635458133,2937071767,4220019243,6281917656,6964179194,6716904569,6853467858,6785137173,7638045254,8376613843,8778473615,8794202444,8595955581,10324668267,11857030337,13442861444,14169626010,15850520384
Gambia The,782915402.4,687408804.6,578236035.1,487038821.6,961900106.9,1027702254,1054113427,1279704745,1561763437,1450140386,1543292393,1409694554,1415006238,1375608956,1229460602,1378176868,1484579844,1504909753,1670670669,1813608280,1830413000,2078070684
Guinea_Bissau,371095510,392621385.9,417806667.1,477458598.7,532062927.4,587029054.4,592365688.1,696910810.9,868154708.5,830126470,849878424.2,1099818652,989271229.6,1046087418,1054915645,1048229629,1179004941,1350177128,1504630121,1439638443,1431758243,1638517533
Equatorial Guinea,1045998496,1461139022,1806742742,2484745935,4410764339,8217369093,10086528699,13071718759,19749893536,15027795173,16314442183,21357344847,22388345810,21948835350,21765454404,13185496836,11240809132,12200912828,13097011208,11364134109,10099157270,12269392789
Greece,1.30458E+11,1.36309E+11,1.54564E+11,2.0237E+11,2.40964E+11,2.47875E+11,2.73547E+11,3.18903E+11,3.55909E+11,3.31309E+11,2.97125E+11,2.82996E+11,2.42029E+11,2.38908E+11,2.35458E+11,1.95684E+11,1.93148E+11,1.99844E+11,2.12049E+11,2.05144E+11,1.88835E+11,2.16241E+11
Grenada,520044370.4,520444185.2,540336925.9,591018407.4,599118592.6,695555555.6,698700666.7,758683592.6,825976037,771275555.6,771013259.3,778655925.9,799882259.3,842620111.1,911497407.4,997007925.9,1061640741,1125685185,1166523556,1213485185,1043411111,1122083185
Greenland,1068030830,1086172923,1169138789,1558753434,1822486689,1849805733,2013099482,2249811709,2499107511,2529948330,2503156061,2684467376,2609667674,2684952727,2842048998,2499115623,2707146783,2851610656,3055791341,2994332324,3075968329,0
Guatemala,19288827159,18405203853,20444205991,21576351799,23577286227,26783543667,29744368111,33567868323,38503862831,37125943565,40676432029,46876114650,49593961142,52996540704,57852399964,62186186576,66053725049,71654134379,73208583759,77020015201,77604632621,85986321551
Guam,0,0,3394000000,3569000000,3869000000,4213000000,4238000000,4397000000,4658000000,4828000000,4949000000,4984000000,5265000000,5399000000,5610000000,5799000000,5901000000,6013000000,6060000000,6364000000,5844000000,0
Guyana,712667896.7,712167575.6,726131434.7,743064076.8,787814379.2,824880550.3,2379818383,2730971150,3025187924,3165663153,3432913073,3691384318,4063089192,4167800259,4127659492,4279840194,4482697337,4748174334,4787636237,5173760192,5471256595,7409179921
High income,2.77544E+13,2.74787E+13,2.86536E+13,3.2119E+13,3.57638E+13,3.78255E+13,3.99623E+13,4.37609E+13,4.66232E+13,4.36697E+13,4.57522E+13,4.9401E+13,4.94261E+13,5.00479E+13,5.1126E+13,4.82584E+13,4.92986E+13,5.15585E+13,5.48156E+13,5.52892E+13,5.36998E+13,5.94454E+13
Hong_Kong,1.71668E+11,1.69403E+11,1.66349E+11,1.61385E+11,1.691E+11,1.8157E+11,1.93536E+11,2.11597E+11,2.1928E+11,2.14046E+11,2.28638E+11,2.48514E+11,2.62629E+11,2.75697E+11,2.91459E+11,3.09384E+11,3.20858E+11,3.41273E+11,3.61731E+11,3.63052E+11,3.44881E+11,3.68139E+11
Honduras,7186650135,7651174661,7858235333,8230387552,8869311411,9757034457,10917481688,12361257681,13881701034,14587496229,15839344592,17710315006,18528601901,18499710128,19756494435,20979767785,21717622071,23136232230,24067778954,25089976947,23827840810,28488668302
Heavily indebted poor countries (HIPC),1.76449E+11,1.71533E+11,1.84657E+11,2.09039E+11,2.40959E+11,2.76892E+11,3.26496E+11,3.91475E+11,4.65586E+11,4.70851E+11,5.20218E+11,5.83029E+11,6.04867E+11,6.73157E+11,7.15229E+11,6.93547E+11,7.28869E+11,8.08758E+11,7.70227E+11,7.97618E+11,8.03284E+11,8.94494E+11
Croatia,21839780971,23273640257,27074550258,34985749883,41958833541,45780237257,50860788253,60542673503,70750646248,63084004705,60426018629,63169910822,57192346923,58889082315,58330289757,50163192883,52295158344,56214427431,62247874949,62246206341,57203783203,67837788544
Haiti,6813577558,6331961555,6058134467,4826827577,6036959915,7184064657,7518107787,9522763154,10485225353,11597014807,11859315079,13008754111,13708926466,14902474091,15139264670,14833154472,13987693739,15035560373,16455034353,14785839383,14508218017,20944392615
Hungary,47218405892,53749989092,67608919144,85302003908,1.04141E+11,1.13237E+11,1.15751E+11,1.40228E+11,1.58374E+11,1.31114E+11,1.32231E+11,1.42E+11,1.28857E+11,1.35733E+11,1.41079E+11,1.2521E+11,1.28636E+11,1.43136E+11,1.60587E+11,1.63526E+11,1.56743E+11,1.82281E+11
IBRD only,5.85102E+12,5.92293E+12,6.01295E+12,6.76023E+12,8.05742E+12,9.63405E+12,1.14257E+13,1.41914E+13,1.70328E+13,1.65215E+13,2.00975E+13,2.37887E+13,2.52817E+13,2.66873E+13,2.75859E+13,2.58384E+13,2.60494E+13,2.87557E+13,3.05803E+13,3.12442E+13,3.00324E+13,3.54515E+13
IDA & IBRD total,6.38635E+12,6.46146E+12,6.59052E+12,7.40286E+12,8.81393E+12,1.05189E+13,1.24812E+13,1.54275E+13,1.85091E+13,1.79907E+13,2.17792E+13,2.54941E+13,2.70743E+13,2.86334E+13,2.96692E+13,2.78906E+13,2.81482E+13,3.09492E+13,3.28167E+13,3.35817E+13,3.23649E+13,3.79979E+13
IDA total,5.35747E+11,5.38879E+11,5.78583E+11,6.43672E+11,7.57616E+11,8.85843E+11,1.05672E+12,1.23667E+12,1.47691E+12,1.4698E+12,1.68218E+12,1.70535E+12,1.79247E+12,1.94612E+12,2.0833E+12,2.05105E+12,2.0974E+12,2.19304E+12,2.23677E+12,2.33749E+12,2.33233E+12,2.54482E+12
IDA blend,2.06737E+11,2.06419E+11,2.28105E+11,2.56485E+11,3.12143E+11,3.73206E+11,4.66945E+11,5.38494E+11,6.39866E+11,6.06825E+11,7.09901E+11,8.14256E+11,9.00553E+11,9.78009E+11,1.0493E+12,1.01147E+12,9.77136E+11,9.59821E+11,1.00783E+12,1.04015E+12,9.99384E+11,1.09009E+12
Indonesia,1.65021E+11,1.60447E+11,1.95661E+11,2.34772E+11,2.56837E+11,2.85869E+11,3.64571E+11,4.32217E+11,5.10229E+11,5.3958E+11,7.55094E+11,8.92969E+11,9.1787E+11,9.12524E+11,8.90815E+11,8.60854E+11,9.31877E+11,1.01562E+12,1.04227E+12,1.1191E+12,1.05869E+12,1.18609E+12
IDA only,3.29981E+11,3.33501E+11,3.51326E+11,3.88051E+11,4.46192E+11,5.13237E+11,5.89852E+11,6.98506E+11,8.37527E+11,8.63599E+11,9.72926E+11,8.91297E+11,8.91921E+11,9.6811E+11,1.034E+12,1.03958E+12,1.12026E+12,1.23322E+12,1.22894E+12,1.29734E+12,1.33364E+12,1.4555E+12
Isle of Man,1563667800,1659131244,1947332922,2328658228,2822358473,3032400000,3422651334,4466100440,5928420956,5487083658,5920177689,6566098382,6690725118,7000748788,7708834951,7085288006,6846691871,6979581725,7491969313,7315388052,0,0
India,4.68395E+11,4.85441E+11,5.14938E+11,6.07699E+11,7.09149E+11,8.20382E+11,9.4026E+11,1.21674E+12,1.1989E+12,1.34189E+12,1.67562E+12,1.82305E+12,1.82764E+12,1.85672E+12,2.03913E+12,2.10359E+12,2.2948E+12,2.65147E+12,2.70293E+12,2.83155E+12,2.66769E+12,3.1734E+12
Ireland,1.00208E+11,1.09347E+11,1.28596E+11,1.64671E+11,1.94372E+11,2.11877E+11,2.32181E+11,2.70079E+11,2.75447E+11,2.36443E+11,2.21876E+11,2.38976E+11,2.25497E+11,2.38279E+11,2.5897E+11,2.9158E+11,2.98928E+11,3.35431E+11,3.85042E+11,3.99122E+11,4.25889E+11,4.9856E+11
Iran,1.09592E+11,1.26879E+11,1.28627E+11,1.53545E+11,1.90043E+11,2.26452E+11,2.66299E+11,3.49882E+11,4.12336E+11,4.16397E+11,4.86808E+11,6.26133E+11,6.44036E+11,4.92776E+11,4.60383E+11,4.08213E+11,4.57955E+11,4.8663E+11,3.30992E+11,2.91363E+11,2.31548E+11,0
Iraq,48364250944,36176430129,32928454672,21921569479,36627901762,49954890353,65140147197,88837055195,1.31614E+11,1.11658E+11,1.38517E+11,1.8575E+11,2.18002E+11,2.34638E+11,2.28416E+11,1.66774E+11,1.66602E+11,1.87218E+11,2.27367E+11,2.33636E+11,1.8437E+11,2.07889E+11
Iceland,9025660362,8234846805,9318395055,11429333038,13825302536,16852963067,17465318552,21652505597,18074622987,13154414219,13751161918,15221622926,14751508134,16125060515,17867662178,17517210519,20793168031,24728285177,26267063758,24857740445,21718075725,25458933916
Israel,1.32456E+11,1.30816E+11,1.21148E+11,1.27047E+11,1.35571E+11,1.42657E+11,1.54145E+11,1.79162E+11,2.16712E+11,2.07953E+11,2.34655E+11,2.62294E+11,2.58417E+11,2.94167E+11,3.10945E+11,3.00078E+11,3.19024E+11,3.55277E+11,3.73641E+11,3.97935E+11,4.07101E+11,4.81591E+11
Italy,1.14668E+12,1.16802E+12,1.27677E+12,1.57762E+12,1.80654E+12,1.85822E+12,1.94955E+12,2.2131E+12,2.40866E+12,2.19993E+12,2.1361E+12,2.29499E+12,2.08696E+12,2.14192E+12,2.16201E+12,1.83664E+12,1.87707E+12,1.9618E+12,2.09193E+12,2.01129E+12,1.89257E+12,2.09988E+12
Jamaica,9005064475,9194717836,9719017926,9430230564,10174664854,11243868486,11930171468,12799593018,13709402085,12120460873,13220556883,14444655300,14807086889,14264202737,13899228824,14188935948,14077109397,14808989993,15730793853,15830768550,13812425037,13638230996
Jordan,8460424401,8975689845,9582453032,10195660790,11411390409,12588665303,15056929760,17110587447,22657662393,24537876056,27133804225,29524149155,31634561690,34454440141,36847643521,38587017887,39892551127,41408960845,42932112676,44502895915,43697659296,45243661972
Japan,4.96836E+12,4.37471E+12,4.18285E+12,4.51956E+12,4.89312E+12,4.83147E+12,4.60166E+12,4.57975E+12,5.10668E+12,5.28949E+12,5.75907E+12,6.23315E+12,6.27236E+12,5.21233E+12,4.89699E+12,4.44493E+12,5.00368E+12,4.93084E+12,5.03784E+12,5.12332E+12,5.04011E+12,4.93742E+12
Kazakhstan,18291994909,22152694162,24636593223,30833699703,43151647003,57123671734,81003884545,1.0485E+11,1.33442E+11,1.15309E+11,1.48047E+11,1.92627E+11,2.07999E+11,2.36635E+11,2.21416E+11,1.84388E+11,1.37278E+11,1.66806E+11,1.7934E+11,1.81667E+11,1.71082E+11,1.90814E+11
Kenya,12705357103,12986007426,13147743911,14904517650,16095337094,18737897745,25825524821,31958195182,35895153328,42347217913,45405587557,46869457318,56396706006,61671425370,68285768554,70120413329,74815121315,82035800868,92202956321,1.0038E+11,1.00667E+11,1.10347E+11
Kyrgyz,1369688498,1525116370,1605643105,1919008090,2211534585,2460248026,2834168889,3802566171,5139957785,4690062255,4794357795,6197766119,6605139933,7335027592,7468096567,6678178340,6813092066,7702934800,8271108638,8871026074,7780874537,8543423503
Cambodia,3654031716,3984000517,4284028483,4658246918,5337833248,6293046162,7274595707,8639235842,10351914093,10401851851,11242275199,12829541141,14054443213,15227991395,16702610842,18049954289,20016747754,22177200512,24571753583,27089389787,25872798012,26961061120
Kiribati,67254174.4,63101272.37,72196457.68,90231856.8,102367039.3,112133944.3,110234939.8,132671743,141042610.3,132419903.3,155299728.5,180665807.2,189630114.9,184550740.1,177862310.4,170291002,178509814.1,188192060.1,196230573.8,177935349.3,180911843.6,0
St. Kitts and Nevis,421695769.8,458643829,481077373.7,469869869.9,506900000,547203703.7,644414814.8,689285185.2,777691333.3,774273111.1,778718111.1,836092407.4,826231629.6,875376407.4,954062481.5,958407222.2,1008942296,1060638333,1078505889,1164877852,980905888.9,976150666.7
S_Korea,5.76178E+11,5.47658E+11,6.27246E+11,7.02717E+11,7.93175E+11,9.34901E+11,1.05322E+12,1.17261E+12,1.04734E+12,9.43942E+11,1.14407E+12,1.25322E+12,1.27843E+12,1.3708E+12,1.48432E+12,1.46577E+12,1.50011E+12,1.6239E+12,1.72485E+12,1.65142E+12,1.6379E+12,1.79853E+12
Kuwait,37712842243,34887512227,38137545245,47876510067,59439090601,80798630137,1.01549E+11,1.1464E+11,1.47395E+11,1.05963E+11,1.15419E+11,1.54068E+11,1.7407E+11,1.74161E+11,1.62631E+11,1.14567E+11,1.0942E+11,1.20707E+11,1.38182E+11,1.36197E+11,1.0596E+11,0
Lao PDR,1731198022,1768619058,1758176653,2023324407,2366398120,2735558726,3455031448,4223152219,5446434032,5836138127,7131773633,8750107402,10192848926,11983252611,13279248479,14426381187,15912495369,17071162084,18141651381,18740559554,18981800705,18827148530
Lebanon,17260364842,17649751244,19152238806,20082918740,21159827992,21497336499,22022709852,24827355015,29118916106,35399582929,38443907042,39927125961,44016799516,46880103081,48095213746,49929337837,51147308774,53027680686,54901519156,51605959131,25948915861,18076624840
Liberia,874000000,906000000,927000000,748000000,897000000,949000000,1119000000,1373000000,1726000000,1768000000,1998000000,2398000000,2791614000,3177198100,3225652000,3227075700,3398419600,3390703400,3422754800,3319596500,3039982540,3486741370
Libya,38270206950,34110064452,20481889764,26265625000,33122307692,47334148578,60092950670,68035403136,86708074534,60810211408,75380170508,48167374612,92538004280,75350633011,57372445772,48717854040,49910960875,67158415842,76684175824,69252306372,52320215472,41879579677
St. Lucia,932592592.6,892592592.6,900000000,987407407.4,1066666667,1135555556,1268319185,1336088815,1437731111,1401507889,1486758037,1576988407,1605146778,1664816741,1755130815,1808079889,1865513430,1996771441,2065127263,2118791548,1616772748,1764901133
Latin America & Caribbean,2.29234E+12,2.24316E+12,2.01406E+12,2.05524E+12,2.3678E+12,2.86267E+12,3.35101E+12,3.94825E+12,4.5899E+12,4.31288E+12,5.34712E+12,6.08599E+12,6.15058E+12,6.30226E+12,6.42593E+12,5.36984E+12,5.24793E+12,5.83076E+12,5.70184E+12,5.62361E+12,4.74315E+12,5.48872E+12
Low income,1.91365E+11,1.91714E+11,2.05306E+11,2.24697E+11,2.64096E+11,3.15878E+11,3.69571E+11,4.43731E+11,5.32647E+11,5.42944E+11,6.13155E+11,4.61377E+11,4.37977E+11,4.49879E+11,4.8029E+11,4.74998E+11,4.70793E+11,5.27247E+11,4.53568E+11,4.79643E+11,4.81025E+11,5.26278E+11
Liechtenstein,2483953103,2491822707,2688630823,3070691320,3454362686,3659251526,4000239273,4601299567,5081432924,4504549214,5082366478,5739977477,5456009385,6391735894,6657170923,6268391521,6237264055,6474256119,6692504346,6427248943,0,0
Sri Lanka,16330814180,15749753805,16536535647,18881765437,20662525941,24405791045,28279814925,32350248411,40713812310,42066217872,56725749222,65292753005,68434409315,74317806538,79356449841,80604080689,82401038710,87428128124,87963042341,83902574443,80969683537,84518830393
Lower middle income,1.52035E+12,1.55383E+12,1.66162E+12,1.90733E+12,2.20998E+12,2.56442E+12,3.03504E+12,3.72622E+12,4.21979E+12,4.29594E+12,5.2469E+12,6.03101E+12,6.32915E+12,6.43275E+12,6.68283E+12,6.52599E+12,6.88532E+12,7.39639E+12,7.54106E+12,7.89476E+12,7.58555E+12,8.68329E+12
Low & middle income,5.95346E+12,6.00813E+12,6.15891E+12,6.93767E+12,8.23442E+12,9.80264E+12,1.16291E+13,1.43603E+13,1.71828E+13,1.68081E+13,2.04496E+13,2.41357E+13,2.56804E+13,2.71883E+13,2.81005E+13,2.66613E+13,2.6903E+13,2.95646E+13,3.12993E+13,3.20613E+13,3.09139E+13,3.63159E+13
Lesotho,887295267.9,825706961.2,775780697.7,1157832935,1511236656,1682350935,1800105590,1682016947,1766825413,1740830511,2234731974,2579421686,2477702253,2367113170,2441053176,2359759799,2114020380,2306185361,2514146888,2451257579,2250717718,2518468891
Late-demographic dividend,3.40335E+12,3.518E+12,3.72899E+12,4.24816E+12,5.10655E+12,6.16235E+12,7.43718E+12,9.37021E+12,1.16491E+13,1.12562E+13,1.35403E+13,1.64986E+13,1.76496E+13,1.90203E+13,1.97483E+13,1.85177E+13,1.85708E+13,2.06096E+13,2.2593E+13,2.30264E+13,2.24709E+13,2.65943E+13
Lithuania,11524776867,12237388002,14259781159,18781721376,22627507452,26097677572,30183575104,39697891352,47797551588,37388122046,37128694028,43535051482,42927454291,46523420074,48533659592,41435533340,43047309306,47758736932,53750911866,54697379017,56546957475,65503849705
Luxembourg,21230182989,21387533703,23649833332,29667268248,35064843793,37672280120,42910146296,51587401416,58844277702,54467289898,56213985987,61696281326,59776383527,65203276467,68804811898,60071584216,62216885436,65712180343,71285019397,70195715496,73353132794,86710803337
Latvia,7958852839,8362398702,9557031605,11771975157,14435700533,17003459863,21570076499,31054350978,35854274229,26410909091,23956163077,27474380566,28169902669,30204783462,31386896487,27263090547,28083597512,30483806018,34429023435,34308783825,33645460617,38872546229
Macao SAR China,6774193548,6860272608,7371723056,8246521717,10643215078,12160002996,14874147024,18439876056,21027044551,21587740942,28241858489,36845925519,43189526778,51536304808,54903031138,45047964934,45070605746,50440941939,55284360483,55204758070,25586111076,29905190182
Morocco,38857251336,39459581217,42236836821,52064058834,59626020162,62343022651,68640825481,79041294874,92507257784,92897320376,93216746662,1.0137E+11,98266306615,1.06826E+11,1.10081E+11,1.0118E+11,1.03312E+11,1.09683E+11,1.18096E+11,1.1987E+11,1.14725E+11,1.32725E+11
Monaco,2647885849,2718868306,2968987019,3601321065,4137913500,4203084194,4582988333,5867916781,6476490406,5451653237,5367625613,6088808463,5743029680,6555983530,7069616049,6261622101,6472990923,6431314957,7194024563,7383745662,6816219303,0
Moldova,1288429392,1480673594,1661818168,1980907435,2598249556,2988348836,3408244549,4401189466,6054849885,5439422031,6974982393,8414351672,8709138765,9496717702,9510198962,7745241913,8071469355,9669741744,11457443185,11971345003,11859730544,13679221333
Madagascar,4629247091,5438332738,5351701534,6372498720,5064732716,5859269849,6395712392,8524620739,10725137931,9616879571,9982711338,11551819618,11578974888,12423555269,12522957228,11323020829,11848613735,13176313594,13614412551,14191911512,13225591804,14637400396
Maldives,624337145.3,870030468.6,897031250,1052121055,1226829563,1163362438,1575200391,1868383461,2271646188,2345294875,2588176055,2774351760,2886170572,3295011382,3697351597,4109424800,4379136462,4754175869,5300962660,5607762625,3742769967,4889666932
Middle East & North Africa,1.04643E+12,1.04116E+12,1.03574E+12,1.14851E+12,1.35662E+12,1.63256E+12,1.91315E+12,2.25954E+12,2.81729E+12,2.54472E+12,2.97306E+12,3.35572E+12,3.61457E+12,3.55316E+12,3.56938E+12,3.14063E+12,3.16863E+12,3.2963E+12,3.45909E+12,3.46522E+12,3.1069E+12,3.63673E+12
Mexico,7.07907E+11,7.56706E+11,7.72106E+11,7.29336E+11,7.82241E+11,8.77476E+11,9.75387E+11,1.0527E+12,1.10999E+12,9.00045E+11,1.0578E+12,1.18049E+12,1.20109E+12,1.27444E+12,1.31535E+12,1.17187E+12,1.07849E+12,1.15891E+12,1.22241E+12,1.2694E+12,1.08712E+12,1.29304E+12
Marshall Islands,115347500,122824000,131738200,131398500,132440200,136559500,141515800,148346700,151898900,149769600,160407100,172188500,180436300,184840400,182142800,183814300,201510900,213204100,221588900,239462200,244462400,248665600
Middle income,5.76696E+12,5.82119E+12,5.95934E+12,6.71893E+12,7.9772E+12,9.49506E+12,1.1269E+13,1.39273E+13,1.66631E+13,1.62789E+13,1.98509E+13,2.36784E+13,2.52441E+13,2.67396E+13,2.76219E+13,2.61888E+13,2.64343E+13,2.90401E+13,3.08446E+13,3.15811E+13,3.04338E+13,3.57859E+13
North Macedonia,3772857145,3709637830,4018365247,4946292775,5682788267,6258600714,6861222332,8336478142,9909548411,9401731496,9407168702,10494632699,9745251126,10817712139,11362272838,10064515432,10672471861,11307058382,12683070061,12606338449,12116981815,13879269152
Mali,2961484954,3468337941,3908121310,4714071978,5454249123,6247515892,6905934219,8156468818,9838403091,10231962383,10689168011,12995112698,12442035328,13242690790,14364937128,13104764379,14026048334,15365713059,17070867578,17280250805,17465392779,19143741503
Malta,4069515579,4088368978,4470446391,5448415500,6098092551,6416184181,6778324050,7925371475,9090406767,8696366907,9035932122,9638916481,9462238211,10551661177,11626281387,11091434484,11668286795,13505056442,15301279478,15719500921,14917038504,17189730470
Myanmar,6849321646,6220270632,6110632858,7754647428,9390855298,10588433069,11863016315,15591182545,23013015832,29455165595,37796052939,54118601975,58318677645,60572257122,63264892768,63045305229,60291736894,61449392056,67144725831,68697759361,78930257227,65067808985
Montenegro,984297589.4,1159869246,1284685051,1707710053,2073234418,2257174481,2721903149,3680711744,4545674528,4159330370,4143033276,4544516982,4087725813,4465771673,4593852089,4054728173,4376929572,4856602179,5506944403,5542201151,4780722122,5809170962
Mongolia,1136896124,1267997934,1396555720,1595297356,1992066808,2523471532,3414055566,4234999823,5623216449,4583850368,7189481824,10409797649,12292770631,12582122604,12226514722,11619892396,11181350461,11480847745,13178094459,14206359007,13312981595,15098022829
Northern Mariana Islands,0,0,1284000000,1239000000,1210000000,1061000000,990000000,938000000,939000000,795000000,799000000,729000000,746000000,772000000,832000000,910000000,1230000000,1560000000,1302000000,1182000000,0,0
Mozambique,5656473652,5398568544,5677003239,6303391144,7631120533,8542070110,9176889070,10450843291,12556195189,11914471497,11104649065,14381552467,16350813487,16974314296,17716091057,15950979333,11936993087,13219079498,14845400593,15390031040,14028811072,16095828897
Mauritania,1779523344,1746064719,1777058593,2051147607,2362501023,2936019526,3919577286,4346206809,5206444407,4714592493,5628878866,6764627666,6728208836,7223071177,6592537782,6166863960,6398747532,6800135962,7352533586,7889655284,7915985514,8227580740
Mauritius,4663313620,4613630623,4841310240,5816553827,6578844486,6488750453,7028803366,8150138757,9990370016,9128843109,10003670690,11518393367,11668685524,12129642296,12803445934,11692287066,12232463656,13259351418,14181951059,14045808843,10926820603,11156657770
Malawi,1743506531,1716502862,3495748398,3208837077,3476094499,3655909664,3998020177,4432937046,5321012192,6191127665,6959655571,8004000737,6028487929,5518880769,6047813437,6373212641,5433040160,8943543677,9880676219,11025370769,12172128470,12626718074
Malaysia,93789736842,92783947368,1.00846E+11,1.10202E+11,1.24749E+11,1.43534E+11,1.62691E+11,1.93548E+11,2.30814E+11,2.02258E+11,2.55017E+11,2.97952E+11,3.14443E+11,3.23277E+11,3.38062E+11,3.01355E+11,3.01255E+11,3.19112E+11,3.58792E+11,3.65276E+11,3.37006E+11,3.72701E+11
North America,1.09992E+13,1.13246E+13,1.16937E+13,1.23562E+13,1.32484E+13,1.42172E+13,1.5141E+13,1.59498E+13,1.63298E+13,1.58593E+13,1.66729E+13,1.73994E+13,1.80887E+13,1.86963E+13,1.93628E+13,1.97692E+13,2.023E+13,2.1136E+13,2.22597E+13,2.3122E+13,2.2546E+13,2.49939E+13
